group,name,dr_um,dz_film_nm,dz_substrate_nm,dt_ns,radial_extent_um,cells,time_steps,runtime_s,peak_temperature_K,final_peak_temperature_K,surface_peak_temperature_K,surface_center_peak_temperature_K,surface_edge_peak_temperature_K,melt_radius_um,melt_depth_nm,include_phase_change,change_peak_temperature_K_percent,change_final_peak_temperature_K_percent,change_surface_peak_temperature_K_percent,change_surface_center_peak_temperature_K_percent
spatial,quick_coarse,2.0,20.0,80.0,2.0,45.0,575,2,0.027143399929627776,3224.8172414020432,2522.923495667318,3224.8172414020432,3224.8172414020432,332.56406886161494,27.0,105.41666666666669,False,nan,nan,nan,nan
spatial,quick_finer,1.0,10.0,40.0,2.0,45.0,2160,2,0.09833760000765324,3455.5053699850023,2557.78957286983,3455.5053699850023,3455.5053699850023,338.7412119932636,27.499999999999996,115.00000000000001,False,6.675959197943897,1.3631331354358545,6.675959197943897,6.675959197943897
