group,name,dr_um,dz_film_nm,dz_substrate_nm,dt_ns,radial_extent_um,cells,time_steps,runtime_s,peak_temperature_K,final_peak_temperature_K,surface_peak_temperature_K,surface_center_peak_temperature_K,surface_edge_peak_temperature_K,melt_radius_um,melt_depth_nm,include_phase_change,change_peak_temperature_K_percent,change_final_peak_temperature_K_percent,change_surface_peak_temperature_K_percent,change_surface_center_peak_temperature_K_percent
spatial,coarse,1.0,10.0,40.0,0.5,60.0,2880,1100,44.953383499989286,3455.5053699850023,460.5296831605173,3455.5053699850023,3455.5053699850023,301.2095365577795,27.499999999999996,145.0,False,nan,nan,nan,nan
spatial,medium,0.5,5.0,20.0,0.5,60.0,11520,1100,272.04495750006754,3587.295961034317,460.7507896744118,3587.295961034317,3587.295961034317,301.17878857071776,27.749999999999996,152.5,False,3.6738142735040933,0.047988309265997675,3.6738142735040933,3.6738142735040933
spatial,fine,0.25,2.5,10.0,0.5,60.0,46080,1100,2125.150991200004,3654.8917249470505,460.80611951726485,3654.8917249470505,3654.8917249470505,301.1635877378574,27.875,153.75,False,1.8494600934782262,0.012007184911303696,1.8494600934782262,1.8494600934782262
