group,name,dr_um,dz_film_nm,dz_substrate_nm,dt_ns,radial_extent_um,cells,time_steps,runtime_s,peak_temperature_K,final_peak_temperature_K,surface_peak_temperature_K,surface_center_peak_temperature_K,surface_edge_peak_temperature_K,melt_radius_um,melt_depth_nm,include_phase_change,change_peak_temperature_K_percent,change_final_peak_temperature_K_percent,change_surface_peak_temperature_K_percent,change_surface_center_peak_temperature_K_percent
spatial,coarse,1.0,10.0,40.0,0.5,60.0,2880,1100,46.770306000020355,2917.1105900036446,475.69648496551457,2917.1105900036446,2917.1105900036446,301.20953655777953,23.500000000000004,105.0,True,nan,nan,nan,nan
spatial,medium,0.5,5.0,20.0,0.5,60.0,11520,1100,258.0931799999671,3048.901181052959,476.0952586945616,3048.901181052959,3048.901181052959,301.17878857071776,24.25,112.50000000000001,True,4.322560267558418,0.08375923132283684,4.322560267558418,4.322560267558418
