group,name,dr_um,dz_film_nm,dz_substrate_nm,dt_ns,radial_extent_um,cells,time_steps,runtime_s,peak_temperature_K,final_peak_temperature_K,melt_radius_um,melt_depth_nm,max_crystallinity,mean_crystallinity,crystal_radius_X01_um,unresolved_melt_cells,change_peak_temperature_K_percent,change_melt_radius_um_percent,change_melt_depth_nm_percent,change_max_crystallinity_percent,change_mean_crystallinity_percent,change_crystal_radius_X01_um_percent
spatial,quick_coarse,2.0,20.0,80.0,2.0,45.0,575,5,0.0681530000292696,2686.422461420686,1629.0587058844856,23.0,86.25000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
spatial,quick_finer,1.0,10.0,40.0,2.0,45.0,2160,5,0.2084777999552898,2917.1105900036446,1646.7235922956434,23.500000000000004,105.0,nan,nan,nan,nan,7.908103634242758,2.1276595744680997,17.857142857142843,nan,nan,nan
