fragility,rms_log_error,geometric_error_factor,rate_Xc_1e-08_K_per_ns,rate_Xc_0.03_K_per_ns,rate_Xc_0.1_K_per_ns,rate_Xc_0.95_K_per_ns
30.0,11.821017968821593,136082.68648410958,0.0023325708682415507,9.016118322618694e-05,6.656739416803009e-05,2.9143735657832962e-05
37.333333333333336,9.084838417522066,8820.540404911977,0.03609021845736164,0.001391261667857297,0.001027189978228107,0.0004497119583844624
44.666666666666664,6.756020220766572,859.2158927796698,0.3684352666543915,0.014332813490701252,0.01058213757885839,0.004633519173194676
52.0,4.772468818970503,118.21072288097365,2.6500770814666037,0.10478725441873553,0.07738914549265827,0.033911312748758735
59.33333333333333,3.0811380302127644,21.783178210644174,14.197645405632839,0.573764884812115,0.424004661547498,0.18590717392434492
66.66666666666666,1.6402467223042443,5.156441564450883,59.406151415044555,2.462387560343434,1.820812033512179,0.7991624045351162
74.0,0.4576129057597513,1.5802971607199405,202.00106456755816,8.60958183309787,6.370431076639528,2.7989473396531235
81.33333333333333,0.7475968986450644,2.111918758838386,577.058942367559,25.327025642488984,18.75227942323849,8.24850187348552
88.66666666666666,1.6470896704278937,5.19184783003752,1423.8172504562217,64.3874873431848,47.7100905665635,21.019243755672548
96.0,2.443414072865474,11.512277480308127,3106.2586705852477,144.7270847672398,107.33548071054975,47.34073944602664
103.33333333333333,3.13902142953135,23.081269155428465,6104.659129443948,292.9905357341028,217.44047977775287,96.06505696809981
110.66666666666666,3.7474983887095905,42.4148437200951,10989.27010614299,542.7304191271162,403.1923313279789,178.33419375705466
118.0,4.281013440151855,72.3136884800189,18353.213626081204,931.9448025038093,692.833554756709,306.96945699362755
125.33333333333333,4.750473244363072,115.63899708348322,28767.742654039226,1499.98519499982,1116.2130522158052,495.11803157982433
132.66666666666666,5.164862378315847,175.01337127946408,42710.68571427085,2283.596180564181,1700.5473205412543,755.5956710474841
140.0,5.531893581859678,252.6218184951137,60525.40280051721,3314.4072863630854,2470.491716731352,1098.9361243625021
