Xc,n_points,rms_log10_time_error,geometric_time_error_factor,median_model_over_wpd_time,wpd_min_time_ns,model_min_time_ns,wpd_nose_temperature_K,model_time_at_wpd_nose_ns
0.0001,320,5.456686187866364,286210.9122192786,83891.99085288374,6.5607491075828,68336.46549989462,670.2358507305812,165695.05752847827
0.03,320,4.816166450852075,65488.71227610568,34969.91776891225,25.781505211032364,280791.30372687045,669.1058585792236,683064.2805235911
0.18,320,4.745077608417001,55600.360622889115,33741.80201908643,40.04958750395311,447689.2291771664,669.5701358805569,1058146.5046252408
0.25,320,4.734999313790156,54324.94731268625,33877.038797257046,43.45851192741958,491089.4910515914,670.671422969419,1101783.3376796772
0.5,320,4.70314662228295,50483.17051710903,33147.50507430249,51.825180188983744,611467.119742152,669.8136256104315,1424485.8270797448
0.95,320,4.762021006359633,57812.40099695395,40317.82958690672,60.93499423512517,880974.8989719985,671.3025178223029,1912438.40650425
