r_um,fluence_mJ_cm2
-4.104347826086956275e+01,2.231404958677686068e+00
-4.086956521739130466e+01,2.314049586776859346e+00
-4.069565217391304657e+01,2.314049586776859346e+00
-4.052173913043478137e+01,2.396694214876033069e+00
-4.034782608695652328e+01,2.479338842975206791e+00
-4.017391304347825809e+01,2.520661157024793209e+00
-4.000000000000000000e+01,2.561983471074380070e+00
-3.982608695652174191e+01,2.603305785123966931e+00
-3.965217391304347672e+01,2.685950413223140654e+00
-3.947826086956521863e+01,2.727272727272727071e+00
-3.930434782608695343e+01,2.809917355371900793e+00
-3.913043478260869534e+01,2.892561983471074516e+00
-3.895652173913043725e+01,2.933884297520661377e+00
-3.878260869565217206e+01,3.016528925619834656e+00
-3.860869565217391397e+01,3.099173553719008378e+00
-3.843478260869564878e+01,3.140495867768595240e+00
-3.826086956521739069e+01,3.223140495867768518e+00
-3.808695652173913260e+01,3.305785123966942241e+00
-3.791304347826086740e+01,3.347107438016529102e+00
-3.773913043478260931e+01,3.388429752066115519e+00
-3.756521739130435122e+01,3.471074380165289242e+00
-3.739130434782608603e+01,3.553719008264462964e+00
-3.721739130434782794e+01,3.636363636363636243e+00
-3.704347826086956275e+01,3.719008264462809965e+00
-3.686956521739130466e+01,3.801652892561983688e+00
-3.669565217391304657e+01,3.884297520661156966e+00
-3.652173913043478137e+01,3.966942148760330689e+00
-3.634782608695652328e+01,4.049586776859504411e+00
-3.617391304347825809e+01,4.132231404958677246e+00
-3.600000000000000000e+01,4.214876033057850968e+00
-3.582608695652174191e+01,4.256198347107438273e+00
-3.565217391304347672e+01,4.380165289256198413e+00
-3.547826086956521863e+01,4.462809917355372136e+00
-3.530434782608695343e+01,4.545454545454545858e+00
-3.513043478260869534e+01,4.628099173553718693e+00
-3.495652173913043725e+01,4.710743801652892415e+00
-3.478260869565217206e+01,4.834710743801652555e+00
-3.460869565217391397e+01,4.917355371900826277e+00
-3.443478260869564878e+01,5.000000000000000000e+00
-3.426086956521739069e+01,5.082644628099173723e+00
-3.408695652173913260e+01,5.206611570247933862e+00
-3.391304347826086740e+01,5.330578512396694002e+00
-3.373913043478260931e+01,5.413223140495867725e+00
-3.356521739130435122e+01,5.495867768595041447e+00
-3.339130434782608603e+01,5.619834710743801587e+00
-3.321739130434782794e+01,5.743801652892561727e+00
