group,name,dr_um,dz_film_nm,dz_substrate_nm,dt_ns,radial_extent_um,cells,time_steps,runtime_s,peak_temperature_K,final_peak_temperature_K,surface_peak_temperature_K,surface_center_peak_temperature_K,surface_edge_peak_temperature_K,melt_radius_um,melt_depth_nm,change_peak_temperature_K_percent,change_final_peak_temperature_K_percent,change_surface_peak_temperature_K_percent,change_surface_center_peak_temperature_K_percent
domain,quick_r30,2.0,20.0,80.0,2.0,30.0,375,2,0.029540499905124307,2686.422461420686,2006.0918536691754,2686.422461420686,2686.422461420686,752.2871326553393,23.0,86.25000000000001,nan,nan,nan,nan
domain,quick_r45,2.0,20.0,80.0,2.0,45.0,575,2,0.04420080001000315,2686.422461420686,2006.0918536691754,2686.422461420686,2686.422461420686,332.56406886161494,23.0,86.25000000000001,0.0,0.0,0.0,0.0
