t	wavelength_um	x_um	m	epsilon_real	epsilon_imag
0.7	5.4	-30	0.0209987243984899	14.273913376671	0.0102935857210865
0.7	5.4	-29.9399399399399	0.0209987243984899	14.273913376671	0.0102935857210865
0.7	5.4	-29.8798798798799	0.0209987243984899	14.273913376671	0.0102935857210865
0.7	5.4	-29.8198198198198	0.0209987243984899	14.273913376671	0.0102935857210865
0.7	5.4	-29.7597597597598	0.0209987243984899	14.273913376671	0.0102935857210865
0.7	5.4	-29.6996996996997	0.0209987243984899	14.273913376671	0.0102935857210865
0.7	5.4	-29.6396396396396	0.0209987243984899	14.273913376671	0.0102935857210865
0.7	5.4	-29.5795795795796	0.0209987243984899	14.273913376671	0.0102935857210865
0.7	5.4	-29.5195195195195	0.0209987243984899	14.273913376671	0.0102935857210865
0.7	5.4	-29.4594594594595	0.0209987243984899	14.273913376671	0.0102935857210865
0.7	5.4	-29.3993993993994	0.0209987243984899	14.273913376671	0.0102935857210865
0.7	5.4	-29.3393393393393	0.0209987243984899	14.273913376671	0.0102935857210865
0.7	5.4	-29.2792792792793	0.0209987243984899	14.273913376671	0.0102935857210865
0.7	5.4	-29.2192192192192	0.0211817914045346	14.2753120729727	0.0103851102479263
0.7	5.4	-29.1591591591592	0.0213648584105794	14.2767110087131	0.0104766660924396
0.7	5.4	-29.0990990990991	0.0215479254166241	14.2781101839532	0.0105682532667051
0.7	5.4	-29.039039039039	0.0216155193880868	14.2786268630567	0.0106020779914913
0.7	5.4	-28.978978978979	0.0216155193880868	14.2786268630567	0.0106020779914913
0.7	5.4	-28.9189189189189	0.0216155193880868	14.2786268630567	0.0106020779914913
0.7	5.4	-28.8588588588589	0.0216155193880868	14.2786268630567	0.0106020779914913
0.7	5.4	-28.7987987987988	0.0216155193880868	14.2786268630567	0.0106020779914913
0.7	5.4	-28.7387387387387	0.0216155193880868	14.2786268630567	0.0106020779914913
0.7	5.4	-28.6786786786787	0.0216155193880868	14.2786268630567	0.0106020779914913
0.7	5.4	-28.6186186186186	0.0217375640587832	14.2795598386126	0.0106631612355084
0.7	5.4	-28.5585585585586	0.0218596087294797	14.2804929206683	0.0107242584147969
0.7	5.4	-28.4984984984985	0.0221616692894536	14.2828027568551	0.0108755338825472
0.7	5.4	-28.4384384384384	0.0223447362954983	14.2842029752476	0.0109672575624069
0.7	5.4	-28.3783783783784	0.0226101834542632	14.2862337179273	0.0111003126659096
0.7	5.4	-28.3183183183183	0.023586540819835	14.2937074575578	0.0115902792410847
0.7	5.4	-28.2582582582583	0.0243622285826272	14.2996499988473	0.0119801816845182
0.7	5.4	-28.1981981981982	0.0242401839119307	14.2987147289211	0.0119187979600328
0.7	5.4	-28.1381381381381	0.024150058616647	14.2980241366547	0.0118734774328842
0.7	5.4	-28.0780780780781	0.024150058616647	14.2980241366547	0.0118734774328842
0.7	5.4	-28.018018018018	0.0242331428732366	14.2986607743017	0.0119152570187658
0.7	5.4	-27.957957957958	0.0244772322146296	14.3005314087117	0.0120380368634932
0.7	5.4	-27.8978978978979	0.0246189917936693	14.3016180119069	0.0121093693526993
0.7	5.4	-27.8378378378378	0.0246189917936693	14.3016180119069	0.0121093693526993
0.7	5.4	-27.7777777777778	0.0246189917936693	14.3016180119069	0.0121093693526993
0.7	5.4	-27.7177177177177	0.0246189917936693	14.3016180119069	0.0121093693526993
0.7	5.4	-27.6576576576577	0.0244781710197888	14.3005386042849	0.0120385092018767
0.7	5.4	-27.5975975975976	0.0242340816783958	14.2986679682304	0.011915729141574
0.7	5.4	-27.5375375375375	0.0241500586166471	14.2980241366547	0.0118734774328842
0.7	5.4	-27.4774774774775	0.0241500586166471	14.2980241366547	0.0118734774328842
0.7	5.4	-27.4174174174174	0.0241500586166471	14.2980241366547	0.0118734774328842
0.7	5.4	-27.3573573573574	0.0241500586166471	14.2980241366547	0.0118734774328842
0.7	5.4	-27.2972972972973	0.0244478945534045	14.3003065502377	0.0120232767069162
0.7	5.4	-27.2372372372372	0.0248140285654939	14.303113226596	0.0122075414916112
0.7	5.4	-27.1771771771772	0.0251801625775834	14.3059208655837	0.0123919325097711
0.7	5.4	-27.1171171171171	0.0255462965896729	14.3087294676939	0.0125764498589293
0.7	5.4	-27.0570570570571	0.025319809845015	14.3069919815901	0.0124622944108796
0.7	5.4	-26.996996996997	0.0250879249706916	14.3052134657964	0.0123454682569225
0.7	5.4	-26.9369369369369	0.0250879249706916	14.3052134657964	0.0123454682569225
0.7	5.4	-26.8768768768769	0.0250879249706916	14.3052134657964	0.0123454682569225
0.7	5.4	-26.8168168168168	0.0250879249706916	14.3052134657964	0.0123454682569225
0.7	5.4	-26.7567567567568	0.0250879249706916	14.3052134657964	0.0123454682569225
0.7	5.4	-26.6966966966967	0.0250879249706916	14.3052134657964	0.0123454682569225
0.7	5.4	-26.6366366366366	0.0250879249706916	14.3052134657964	0.0123454682569225
