0.35028,1.677,0.35028,2.634
0.35187,1.688,0.35187,2.646
0.35347,1.699,0.35347,2.657
0.35506,1.71,0.35506,2.667
0.35666,1.721,0.35666,2.678
0.35825,1.733,0.35825,2.689
0.35985,1.744,0.35985,2.7
0.36144,1.755,0.36144,2.71
0.36303,1.767,0.36303,2.721
0.36463,1.778,0.36463,2.731
0.36622,1.789,0.36622,2.742
0.36782,1.801,0.36782,2.752
0.36941,1.812,0.36941,2.762
0.37101,1.824,0.37101,2.772
0.3726,1.835,0.3726,2.782
0.37419,1.847,0.37419,2.792
0.37579,1.858,0.37579,2.802
0.37738,1.87,0.37738,2.812
0.37898,1.882,0.37898,2.822
0.38057,1.893,0.38057,2.831
0.38217,1.905,0.38217,2.841
0.38376,1.917,0.38376,2.851
0.38535,1.929,0.38535,2.86
0.38695,1.94,0.38695,2.869
0.38854,1.952,0.38854,2.879
0.39014,1.964,0.39014,2.888
0.39173,1.976,0.39173,2.897
0.39332,1.988,0.39332,2.906
0.39492,2,0.39492,2.915
0.39651,2.012,0.39651,2.924
0.39811,2.023,0.39811,2.933
0.3997,2.035,0.3997,2.942
0.4013,2.047,0.4013,2.95
0.40289,2.059,0.40289,2.959
0.40448,2.072,0.40448,2.968
0.40608,2.084,0.40608,2.976
0.40767,2.096,0.40767,2.985
0.40927,2.108,0.40927,2.993
0.41086,2.12,0.41086,3.001
0.41245,2.132,0.41245,3.01
0.41405,2.144,0.41405,3.018
0.41564,2.156,0.41564,3.026
0.41724,2.169,0.41724,3.034
0.41883,2.181,0.41883,3.042
0.42042,2.193,0.42042,3.05
0.42202,2.205,0.42202,3.057
0.42361,2.218,0.42361,3.065
0.42521,2.23,0.42521,3.073
0.4268,2.242,0.4268,3.08
0.42839,2.255,0.42839,3.088
0.42999,2.267,0.42999,3.095
0.43158,2.279,0.43158,3.103
0.43318,2.292,0.43318,3.11
0.43477,2.304,0.43477,3.117
0.43636,2.316,0.43636,3.125
0.43796,2.329,0.43796,3.132
0.43955,2.341,0.43955,3.139
0.44115,2.354,0.44115,3.146
0.44274,2.366,0.44274,3.153
0.44433,2.379,0.44433,3.16
0.44593,2.391,0.44593,3.166
0.44752,2.404,0.44752,3.173
0.44911,2.416,0.44911,3.18
0.45071,2.429,0.45071,3.186
0.4523,2.441,0.4523,3.193
0.4539,2.454,0.4539,3.199
0.45549,2.466,0.45549,3.206
0.45708,2.479,0.45708,3.212
0.45868,2.492,0.45868,3.218
0.46027,2.504,0.46027,3.225
0.46186,2.517,0.46186,3.231
0.46346,2.529,0.46346,3.237
0.46505,2.542,0.46505,3.243
0.46664,2.555,0.46664,3.249
0.46824,2.567,0.46824,3.255
0.46983,2.58,0.46983,3.26
0.47142,2.592,0.47142,3.266
0.47302,2.605,0.47302,3.272
0.47461,2.618,0.47461,3.277
0.4762,2.63,0.4762,3.283
0.4778,2.643,0.4778,3.288
0.47939,2.656,0.47939,3.294
0.48098,2.668,0.48098,3.299
0.48258,2.681,0.48258,3.305
0.48417,2.694,0.48417,3.31
0.48576,2.707,0.48576,3.315
0.48736,2.719,0.48736,3.32
0.48895,2.732,0.48895,3.325
0.49054,2.745,0.49054,3.33
0.49213,2.757,0.49213,3.335
0.49373,2.77,0.49373,3.34
0.49532,2.783,0.49532,3.345
0.49691,2.796,0.49691,3.349
0.49851,2.808,0.49851,3.354
0.5001,2.821,0.5001,3.359
0.50169,2.834,0.50169,3.363
0.50328,2.846,0.50328,3.368
0.50488,2.859,0.50488,3.372
0.50647,2.872,0.50647,3.377
0.50806,2.885,0.50806,3.381
0.50965,2.897,0.50965,3.385
0.51125,2.91,0.51125,3.389
0.51284,2.923,0.51284,3.393
0.51443,2.936,0.51443,3.398
0.51602,2.948,0.51602,3.402
0.51762,2.961,0.51762,3.405
0.51921,2.974,0.51921,3.409
0.5208,2.986,0.5208,3.413
0.52239,2.999,0.52239,3.417
0.52399,3.012,0.52399,3.421
0.52558,3.025,0.52558,3.424
0.52717,3.037,0.52717,3.428
0.52876,3.05,0.52876,3.431
0.53035,3.063,0.53035,3.435
0.53195,3.075,0.53195,3.438
0.53354,3.088,0.53354,3.442
0.53513,3.101,0.53513,3.445
0.53672,3.113,0.53672,3.448
0.53831,3.126,0.53831,3.451
0.53991,3.139,0.53991,3.454
0.5415,3.151,0.5415,3.457
0.54309,3.164,0.54309,3.46
0.54468,3.177,0.54468,3.463
0.54627,3.189,0.54627,3.466
0.54786,3.202,0.54786,3.469
0.54946,3.215,0.54946,3.472
0.55105,3.227,0.55105,3.475
0.55264,3.24,0.55264,3.477
0.55423,3.253,0.55423,3.48
0.55582,3.265,0.55582,3.482
0.55741,3.278,0.55741,3.485
