profile	wavelength_um	x_um	m	n_eff	k_eff
1	3.5	-30	0.0205479452054795	3.80626900140378	0.000814492965148809
1	3.5	-29.9399399399399	0.0205479452054795	3.80626900140378	0.000814492965148809
1	3.5	-29.8798798798799	0.0205479452054795	3.80626900140378	0.000814492965148809
1	3.5	-29.8198198198198	0.0205479452054795	3.80626900140378	0.000814492965148809
1	3.5	-29.7597597597598	0.0205479452054795	3.80626900140378	0.000814492965148809
1	3.5	-29.6996996996997	0.0205479452054795	3.80626900140378	0.000814492965148809
1	3.5	-29.6396396396396	0.0205479452054795	3.80626900140378	0.000814492965148809
1	3.5	-29.5795795795796	0.0205479452054795	3.80626900140378	0.000814492965148809
1	3.5	-29.5195195195195	0.0209227492332516	3.80666013991023	0.000829564039780733
1	3.5	-29.4594594594595	0.0221111522481386	3.80790100288435	0.000877401824225318
1	3.5	-29.3993993993994	0.0228310502283105	3.80865317371351	0.000906418581527421
1	3.5	-29.3393393393393	0.0228310502283105	3.80865317371351	0.000906418581527421
1	3.5	-29.2792792792793	0.0228310502283105	3.80865317371351	0.000906418581527421
1	3.5	-29.2192192192192	0.0228310502283105	3.80865317371351	0.000906418581527421
1	3.5	-29.1591591591592	0.0228310502283105	3.80865317371351	0.000906418581527421
1	3.5	-29.0990990990991	0.0228310502283105	3.80865317371351	0.000906418581527421
1	3.5	-29.039039039039	0.0220814421727664	3.80786996892931	0.000876204925329982
1	3.5	-28.978978978979	0.0208930391578794	3.80662913134531	0.000828369097678437
1	3.5	-28.9189189189189	0.0205479452054795	3.80626900140378	0.000814492965148809
1	3.5	-28.8588588588589	0.0205479452054795	3.80626900140378	0.000814492965148809
1	3.5	-28.7987987987988	0.0205479452054795	3.80626900140378	0.000814492965148809
1	3.5	-28.7387387387387	0.0205479452054795	3.80626900140378	0.000814492965148809
1	3.5	-28.6786786786787	0.0205479452054795	3.80626900140378	0.000814492965148809
1	3.5	-28.6186186186186	0.0205479452054795	3.80626900140378	0.000814492965148809
1	3.5	-28.5585585585586	0.0205479452054795	3.80626900140378	0.000814492965148809
1	3.5	-28.4984984984985	0.0205182351301073	3.80623800083904	0.00081329863932377
1	3.5	-28.4384384384384	0.0193298321152203	3.80499849789625	0.000765565622079371
1	3.5	-28.3783783783784	0.0182648401826483	3.80388857325504	0.000722855742764094
1	3.5	-28.3183183183183	0.0182648401826483	3.80388857325504	0.000722855742764094
1	3.5	-28.2582582582583	0.0182648401826483	3.80388857325504	0.000722855742764094
1	3.5	-28.1981981981982	0.0182648401826483	3.80388857325504	0.000722855742764094
